locationId,location,parameter,pm25_value,unit,country,latitude,longitude,datetime_utc
287,St. Lina,pm25,5.2,µg/m³,CA,54.216473,-111.50264,2024-12-21 01:00:00+00:00
297,Steeper,pm25,0.2,µg/m³,CA,53.1325,-117.09111,2024-12-21 04:00:00+00:00
297,Steeper,pm25,0.3,µg/m³,CA,53.1325,-117.09111,2024-12-21 03:00:00+00:00
297,Steeper,pm25,0.3,µg/m³,CA,53.1325,-117.09111,2024-12-21 02:00:00+00:00
297,Steeper,pm25,0.3,µg/m³,CA,53.1325,-117.09111,2024-12-21 01:00:00+00:00
298,Bruderheim,pm25,14.5,µg/m³,CA,53.800117,-112.927795,2024-12-21 03:00:00+00:00
314,Indpls - I-70 E,pm25,7.9,µg/m³,US,39.787933,-86.13088,2024-12-21 04:00:00+00:00
314,Indpls - I-70 E,pm25,8.9,µg/m³,US,39.787933,-86.13088,2024-12-21 03:00:00+00:00
314,Indpls - I-70 E,pm25,10.7,µg/m³,US,39.787933,-86.13088,2024-12-21 02:00:00+00:00
314,Indpls - I-70 E,pm25,12,µg/m³,US,39.787933,-86.13088,2024-12-21 01:00:00+00:00
326,Jackson NCORE,pm25,6.5,µg/m³,US,32.329042,-90.182659,2024-12-21 04:00:00+00:00
326,Jackson NCORE,pm25,5.8,µg/m³,US,32.329042,-90.182659,2024-12-21 03:00:00+00:00
326,Jackson NCORE,pm25,5.3,µg/m³,US,32.329042,-90.182659,2024-12-21 02:00:00+00:00
326,Jackson NCORE,pm25,5.7,µg/m³,US,32.329042,-90.182659,2024-12-21 01:00:00+00:00
338,Estaci�n Hospital Ge,pm25,11.1,µg/m³,MX,20.9479,-101.4258,2024-12-21 04:00:00+00:00
338,Estaci�n Hospital Ge,pm25,10.6,µg/m³,MX,20.9479,-101.4258,2024-12-21 03:00:00+00:00
338,Estaci�n Hospital Ge,pm25,11.4,µg/m³,MX,20.9479,-101.4258,2024-12-21 02:00:00+00:00
338,Estaci�n Hospital Ge,pm25,15.7,µg/m³,MX,20.9479,-101.4258,2024-12-21 01:00:00+00:00
339,Waco C1037,pm25,10.9,µg/m³,US,31.6531,-97.0706,2024-12-21 04:00:00+00:00
339,Waco C1037,pm25,9,µg/m³,US,31.6531,-97.0706,2024-12-21 03:00:00+00:00
339,Waco C1037,pm25,8.3,µg/m³,US,31.6531,-97.0706,2024-12-21 02:00:00+00:00
339,Waco C1037,pm25,10.2,µg/m³,US,31.6531,-97.0706,2024-12-21 01:00:00+00:00
341,St. Marks Wildlife R,pm25,7.7,µg/m³,US,30.0842,-84.1617,2024-12-21 04:00:00+00:00
341,St. Marks Wildlife R,pm25,9.3,µg/m³,US,30.0842,-84.1617,2024-12-21 03:00:00+00:00
341,St. Marks Wildlife R,pm25,6.8,µg/m³,US,30.0842,-84.1617,2024-12-21 01:00:00+00:00
342,Lancaster,pm25,14.2,µg/m³,US,40.0467,-76.2833,2024-12-21 04:00:00+00:00
342,Lancaster,pm25,13.7,µg/m³,US,40.0467,-76.2833,2024-12-21 03:00:00+00:00
342,Lancaster,pm25,12.1,µg/m³,US,40.0467,-76.2833,2024-12-21 02:00:00+00:00
342,Lancaster,pm25,12.7,µg/m³,US,40.0467,-76.2833,2024-12-21 01:00:00+00:00
358,Albemarle HS,pm25,8.6,µg/m³,US,38.07657,-78.50397,2024-12-21 04:00:00+00:00
358,Albemarle HS,pm25,7.4,µg/m³,US,38.07657,-78.50397,2024-12-21 03:00:00+00:00
358,Albemarle HS,pm25,7.7,µg/m³,US,38.07657,-78.50397,2024-12-21 02:00:00+00:00
358,Albemarle HS,pm25,7.5,µg/m³,US,38.07657,-78.50397,2024-12-21 01:00:00+00:00
360,Patricia McInnes,pm25,6.1,µg/m³,CA,56.7522,-111.4761,2024-12-21 04:00:00+00:00
360,Patricia McInnes,pm25,8.4,µg/m³,CA,56.7522,-111.4761,2024-12-21 03:00:00+00:00
360,Patricia McInnes,pm25,6.5,µg/m³,CA,56.7522,-111.4761,2024-12-21 02:00:00+00:00
360,Patricia McInnes,pm25,6.8,µg/m³,CA,56.7522,-111.4761,2024-12-21 01:00:00+00:00
361,Tonawanda II,pm25,6.6,µg/m³,US,42.9981,-78.8993,2024-12-21 04:00:00+00:00
361,Tonawanda II,pm25,6.9,µg/m³,US,42.9981,-78.8993,2024-12-21 03:00:00+00:00
361,Tonawanda II,pm25,7.2,µg/m³,US,42.9981,-78.8993,2024-12-21 02:00:00+00:00
361,Tonawanda II,pm25,7.2,µg/m³,US,42.9981,-78.8993,2024-12-21 01:00:00+00:00
364,Colegio Pedro Vergara Keller,pm25,45,µg/m³,CL,-22.44283906,-68.93254635,2024-12-21 03:00:00+00:00
364,Colegio Pedro Vergara Keller,pm25,44,µg/m³,CL,-22.44283906,-68.93254635,2024-12-21 02:00:00+00:00
364,Colegio Pedro Vergara Keller,pm25,40,µg/m³,CL,-22.44283906,-68.93254635,2024-12-21 01:00:00+00:00
382,Elk Island,pm25,11.3,µg/m³,CA,53.6825,-112.8686,2024-12-21 03:00:00+00:00
383,Malta,pm25,1.9,µg/m³,US,48.317507,-107.862471,2024-12-21 04:00:00+00:00
383,Malta,pm25,6,µg/m³,US,48.317507,-107.862471,2024-12-21 03:00:00+00:00
383,Malta,pm25,4.5,µg/m³,US,48.317507,-107.862471,2024-12-21 02:00:00+00:00
383,Malta,pm25,7.2,µg/m³,US,48.317507,-107.862471,2024-12-21 01:00:00+00:00
385,Newburgh,pm25,4.6,µg/m³,US,41.4994,-74.0097,2024-12-21 04:00:00+00:00
385,Newburgh,pm25,5.3,µg/m³,US,41.4994,-74.0097,2024-12-21 03:00:00+00:00
385,Newburgh,pm25,5.9,µg/m³,US,41.4994,-74.0097,2024-12-21 02:00:00+00:00
